LED телевизор Samsung UE43T5300AUXCE,159190,Samsung,454067,Все телевизоры,"43″ - 109,2 см",1920х1080 (FullHD),16:9,Прямой,Edge LED,Да,Есть (встроенный),Нет
LED телевизор Samsung UE55TU7100UXCE,228990,Samsung,459730,Все телевизоры,"55″ - 139,7см",3840x2160 (4K UHD),16:9,Прямой,Edge LED,Да,Есть (встроенный),Нет
LED телевизор Samsung UE50TU7100UXCE,198990,Samsung,460806,Все телевизоры,50″ - 127 см,3840x2160 (4K UHD),16:9,Прямой,Edge LED,Да,Есть (встроенный),Нет
QLED телевизор Samsung QE50Q60TAUXCE,299090,Samsung,459722,Все телевизоры,50″ - 127 см,3840x2160 (4K UHD),16:9,Прямой,QLED,Да,Есть (встроенный),Нет
QLED телевизор Samsung QE55Q60TAUXCE,349090,Samsung,459721,Все телевизоры,"55″ - 139,7см",3840x2160 (4K UHD),16:9,Прямой,QLED,Да,Есть (встроенный),Нет
LED телевизор Sony KDL32WD603,129990,Sony,67880,Все телевизоры,"32″ - 81,3 см",1366x768 (HD),16:9,Прямой,LED,Да,Есть (встроенный),Нет
LED телевизор Sony KDL40WD653,169990,Sony,68685,Все телевизоры,"40″ - 101,6 см",1920х1080 (FullHD),16:9,Прямой,LED,Да,Есть (встроенный),Нет
LED телевизор Haier LE24K6000S,54990,Haier,78457,Все телевизоры,24″ - 61 см,1366x768 (HD),16:9,Прямой,Direct,Нет,Нет,Нет
LED телевизор Xiaomi 4A 32 Global L32M5-5ARU,84990,Xiaomi,436000,Все телевизоры,"32″ - 81,3 см",1366x768 (HD),16:9,Прямой,LED,Да,Есть (встроенный),Нет
LED телевизор Xiaomi 4S Global L55M5-5A,209990,Xiaomi,440305,Все телевизоры,"55″ - 139,7см",3840x2160 (4K UHD),16:9,Прямой,LED,Да,Есть (встроенный),Нет
LED TV LG 43LM5700PLA,154990,LG,308824,Все телевизоры,"43″ - 109,2 см",1920х1080 (FullHD),,,LED,Да,Есть (встроенный),
LED телевизор Philips 50PUS7303/60,209990,Philips,306220,Все телевизоры,50″ - 127 см,3840x2160 (4K UHD),16:9,Прямой,Direct,Да,Есть (встроенный),Нет
LED телевизор Philips 50PUS6704/60,179990,Philips,361389,Все телевизоры,50″ - 127 см,3840x2160 (4K UHD),16:9,Прямой,Direct,Да,Есть (встроенный),Нет
