Планшет Samsung Galaxy Tab A 7″ 8GB (SM-T285) Black,49890,Samsung,66522,Планшеты,"7″ - 17,8 см",8 Гб,"1,5 ГБ",Wi-Fi + 4G,5 Mpx,2 Mpx
Планшет Samsung Galaxy Tab S6 10.5″ 128GB (SM-T865) Grey,239890,Samsung,374028,Планшеты,"10,5″ - 26,67 см",128 Гб,6 ГБ,Wi-Fi + 4G,13+5 Mpx,8 Mpx
Планшет Samsung Galaxy Tab A 10.1″ 32GB (SM-T515) Gold,89890,Samsung,303658,Планшеты,"10,1"" - 25,65 см",32 Гб,2 ГБ,Wi-Fi + 4G,8 Mpx,5 Mpx
Планшет Samsung Tab A 10.1″ 32GB (SM-T515) Black,89890,Samsung,303659,Планшеты,"10,1"" - 25,65 см",32 Гб,2 ГБ,Wi-Fi + 4G,8 Mpx,5 Mpx
Планшет Samsung Galaxy Tab A 8″ 32GB (SM-T295) Black,69890,Samsung,328242,Планшеты,"8″ - 20,3 см",32 Гб,2 ГБ,Wi-Fi + 4G,8 Mpx,5 Mpx
Планшет Samsung Galaxy Tab A 8″ 32GB Wi-Fi (SM-T290) Black,59890,Samsung,443490,Планшеты,"8″ - 20,3 см",32 Гб,2 ГБ,только Wi-Fi,8 Mpx,2 Mpx
Планшет Apple iPad 10.2″ 32GB Wi-Fi (MW752) Silver,169990,Apple,393692,Планшеты,"10,2″ - 25,9 см",32 Гб,2 ГБ,только Wi-Fi,8 Mpx,"1,2 Mpx"
Планшет Samsung Galaxy Tab S5e 10.5″ 64GB (SM-T725) Black,149890,Samsung,303927,Планшеты,"10,5″ - 26,67 см",64 Гб,4 ГБ,Wi-Fi + 4G,13 Mpx,8 Mpx
Планшет Huawei MediaPad T3 10″ 16GB (AGS-L09) Gray,87890,Huawei,76491,Планшеты,"9,6″ - 24,3 см",16 Гб,2 ГБ,,5 Mpx,2 Mpx
Планшет Samsung Galaxy Tab S6 10.5″ 128GB (SM-T865) Rose Blush,239890,Samsung,374029,Планшеты,"10,5″ - 26,67 см",128 Гб,6 ГБ,Wi-Fi + 4G,13+5 Mpx,8 Mpx
Планшет Samsung Galaxy Tab S6 Lite 10.4″ 64GB (SM-P615) Blue,179890,Samsung,460226,Планшеты,"10,4″ - 26.31 см",64 Гб,4 ГБ,Wi-Fi + 4G,8 Mpx,5 Mpx
Планшет Huawei MediaPad T3 7″ 16GB (BG2-U01) Gray,49990,Huawei,298066,Планшеты,,16 Гб,1 ГБ,,5 Mpx,2 Mpx
Планшет Samsung Galaxy Tab A 8″ 32GB (SM-T295) Silver,69890,Samsung,328243,Планшеты,"8″ - 20,3 см",32 Гб,2 ГБ,Wi-Fi + 4G,8 Mpx,2 Mpx
